"exposure","outcome","model","term","OR","lo","hi","p","p_trend"
"sum_hmw_z","ir_binary","Crude","q_Q4_vs_Q1",1.51524542458364,1.12487412139059,2.04108944553131,0.00751544831572719,0.0155903102537607
"sum_hmw_z","ir_binary","M1","q_Q2_vs_Q1",1.16914310875012,0.858183786645131,1.5927772465633,0.324708518184362,0.0158693374665893
"sum_hmw_z","ir_binary","M1","q_Q3_vs_Q1",1.34610350839307,0.984421105289568,1.84067026354044,0.0661084382089427,0.0158693374665893
"sum_hmw_z","ir_binary","M1","q_Q4_vs_Q1",1.50424432607034,1.1002040092575,2.05666492166473,0.0122882356842718,0.0158693374665893
"sum_hmw_z","ir_binary","M2","q_Q2_vs_Q1",0.966832526279872,0.663288505337031,1.40928890874981,0.861189655006524,0.27434329049942
"sum_hmw_z","ir_binary","M2","q_Q3_vs_Q1",0.966392745811608,0.657237317003523,1.42097065245048,0.862482319846665,0.27434329049942
"sum_hmw_z","ir_binary","M2","q_Q4_vs_Q1",1.17520944701792,0.792810123450428,1.7420529878571,0.423921643558999,0.27434329049942
"sum_lmw_z","ir_binary","Crude","q_Q2_vs_Q1",1.28956285902055,0.931735272809418,1.78481207687992,0.128598023666197,0.16826698048839
"sum_lmw_z","ir_binary","Crude","q_Q3_vs_Q1",1.19523654328935,0.880554613622689,1.6223756849526,0.255612932224632,0.16826698048839
"sum_lmw_z","ir_binary","Crude","q_Q4_vs_Q1",1.34090319337396,0.988889936178931,1.8182219357475,0.0621999371729386,0.16826698048839
"sum_lmw_z","ir_binary","M1","q_Q2_vs_Q1",1.23621973730376,0.891467228933968,1.71429659924444,0.207101623255146,0.300868240791768
"sum_lmw_z","ir_binary","M1","q_Q3_vs_Q1",1.17360243916813,0.862028946111979,1.59779168835761,0.312095872161991,0.300868240791768
"sum_lmw_z","ir_binary","M1","q_Q4_vs_Q1",1.26890742750055,0.919125369254254,1.75180243460418,0.15144957788566,0.300868240791768
"sum_lmw_z","ir_binary","M2","q_Q2_vs_Q1",1.06031543135558,0.700081533654106,1.60591125451146,0.782889806193093,0.845799511751082
"sum_lmw_z","ir_binary","M2","q_Q3_vs_Q1",0.949451057029839,0.63349399563069,1.42299266593302,0.80228331053413,0.845799511751082
"sum_lmw_z","ir_binary","M2","q_Q4_vs_Q1",1.05046920961168,0.714278315033577,1.54489578798189,0.803104312370635,0.845799511751082
