"exposure","outcome","model","term","beta","lo","hi","p","p_trend"
"URXMZP_z","homa_ir_log","M1","q_Q3_vs_Q1",0.124295077281218,0.024969668243175,0.223620486319261,0.0162220983570146,2.47968871681773e-05
"URXMZP_z","homa_ir_log","M1","q_Q4_vs_Q1",0.308664375275491,0.205903882525641,0.41142486802534,7.60212555542057e-08,2.47968871681773e-05
"URXMZP_z","homa_ir_log","M2","q_Q2_vs_Q1",0.0991665665596528,0.00707273814466425,0.191260394974641,0.0380596905727629,0.300150295934021
"URXMZP_z","homa_ir_log","M2","q_Q3_vs_Q1",0.0400538009179238,-0.059480509521086,0.139588111356934,0.432693008840029,0.300150295934021
"URXMZP_z","homa_ir_log","M2","q_Q4_vs_Q1",0.0795624924260859,-0.0065530672390252,0.165678052091197,0.0740643044225473,0.300150295934021
"URXMHP_z","homa_ir_log","Crude","q_Q2_vs_Q1",-0.0598187094458716,-0.1773342041465,0.0576967852547568,0.32107266977092,0.339939867529677
"URXMHP_z","homa_ir_log","Crude","q_Q3_vs_Q1",0.0198003076977815,-0.102023307916545,0.141623923312108,0.750787250119249,0.339939867529677
"URXMHP_z","homa_ir_log","Crude","q_Q4_vs_Q1",0.026212487832915,-0.0948632639745689,0.147288239640399,0.672324237832262,0.339939867529677
"URXMHP_z","homa_ir_log","M1","q_Q2_vs_Q1",-0.0736429950694448,-0.192390947637115,0.0451049574982252,0.227533898845647,0.554430663152848
"URXMHP_z","homa_ir_log","M1","q_Q3_vs_Q1",-0.0114615365708252,-0.140067432856407,0.117144359714757,0.861748108935732,0.554430663152848
"URXMHP_z","homa_ir_log","M1","q_Q4_vs_Q1",7.87607594572948e-05,-0.128496541862796,0.128654063381711,0.999044851143564,0.554430663152848
"URXMHP_z","homa_ir_log","M2","q_Q2_vs_Q1",-0.0663473154675078,-0.154984824515951,0.022290193580935,0.146419530683844,0.245572526178555
"URXMHP_z","homa_ir_log","M2","q_Q3_vs_Q1",-0.0097298549793677,-0.104176935496048,0.0847172255373123,0.840513752035642,0.245572526178555
"URXMHP_z","homa_ir_log","M2","q_Q4_vs_Q1",0.0169141605888896,-0.0731905409002694,0.107018862078049,0.713938773503338,0.245572526178555
"URXMHH_z","homa_ir_log","Crude","q_Q2_vs_Q1",0.131241472884825,0.00782089911736362,0.254662046652287,0.0399444860511815,0.00113845976571976
"URXMHH_z","homa_ir_log","Crude","q_Q3_vs_Q1",0.196219118691841,0.0788345692304637,0.313603668153218,0.00148925952824835,0.00113845976571976
"URXMHH_z","homa_ir_log","Crude","q_Q4_vs_Q1",0.223516143227376,0.108073053431572,0.33895923302318,0.000265868900070962,0.00113845976571976
"URXMHH_z","homa_ir_log","M1","q_Q2_vs_Q1",0.115702360917631,-0.00728618284354277,0.238690904678804,0.0686843622122098,0.00324378053447533
"URXMHH_z","homa_ir_log","M1","q_Q3_vs_Q1",0.175750227128417,0.0557314356723248,0.295769018584509,0.00517625026340175,0.00324378053447533
"URXMHH_z","homa_ir_log","M1","q_Q4_vs_Q1",0.205150588463787,0.0868672233356875,0.323433953591886,0.00103030082415026,0.00324378053447533
"URXMHH_z","homa_ir_log","M2","q_Q2_vs_Q1",0.0580847766587095,-0.0349675019882172,0.151137055305636,0.224885205162749,0.0163925471882765
"URXMHH_z","homa_ir_log","M2","q_Q3_vs_Q1",0.0737740759687534,-0.0196837135197482,0.167231865457255,0.125917270494323,0.0163925471882765
"URXMHH_z","homa_ir_log","M2","q_Q4_vs_Q1",0.120536815187886,0.0309032655819557,0.210170364793815,0.0101480017196647,0.0163925471882765
"URXMOH_z","homa_ir_log","Crude","q_Q2_vs_Q1",0.112824071322077,-0.0144425568717552,0.240090699515909,0.0856690064189727,0.00105763433818238
"URXMOH_z","homa_ir_log","Crude","q_Q3_vs_Q1",0.2226369469675,0.120887723911283,0.324386170023717,4.46835834099356e-05,0.00105763433818238
"URXMOH_z","homa_ir_log","Crude","q_Q4_vs_Q1",0.219324600039556,0.10507153887998,0.333577661199132,0.000297455174753086,0.00105763433818238
"URXMOH_z","homa_ir_log","M1","q_Q2_vs_Q1",0.0981009672899543,-0.0294517238591917,0.2256536584391,0.135405977786238,0.00159389303505567
"URXMOH_z","homa_ir_log","M1","q_Q3_vs_Q1",0.197139810600829,0.092989851388629,0.301289769813029,0.000368989996492295,0.00159389303505567
"URXMOH_z","homa_ir_log","M1","q_Q4_vs_Q1",0.207382345198555,0.0914954216161255,0.323269268780985,0.000725422370830838,0.00159389303505567
"URXMOH_z","homa_ir_log","M2","q_Q2_vs_Q1",0.0421927249986286,-0.0501556969495171,0.134541146946774,0.373312358582138,0.0221754149367595
