"exposure","outcome","model","term","OR","lo","hi","p","p_trend"
"URXMHH_z","ir_binary_asian","M2","q_Q4_vs_Q1",1.55399428459954,1.0563555451076,2.28606575480425,0.0280850882401808,0.122296922057353
"URXMOH_z","ir_binary_asian","Crude","q_Q2_vs_Q1",1.25262779905622,0.878620268083753,1.78584134690011,0.216387070462232,0.017426111269525
"URXMOH_z","ir_binary_asian","Crude","q_Q3_vs_Q1",1.98393479199888,1.48999637414828,2.64161532685175,9.57561414868658e-06,0.017426111269525
"URXMOH_z","ir_binary_asian","Crude","q_Q4_vs_Q1",1.62513675536235,1.14551596435784,2.30557194819211,0.0077900652759399,0.017426111269525
"URXMOH_z","ir_binary_asian","M1","q_Q2_vs_Q1",1.20960141276732,0.839989396577902,1.74185005635724,0.309305771027907,0.0200370104008758
"URXMOH_z","ir_binary_asian","M1","q_Q3_vs_Q1",1.89597781055532,1.41316811941142,2.54373970707416,5.13475190119063e-05,0.0200370104008758
"URXMOH_z","ir_binary_asian","M1","q_Q4_vs_Q1",1.59063597972511,1.11838613841453,2.26229808568876,0.0115186346656827,0.0200370104008758
"URXMOH_z","ir_binary_asian","M2","q_Q2_vs_Q1",1.18458797774557,0.799050882602102,1.75614433019544,0.401693425034553,0.17917689533739
"URXMOH_z","ir_binary_asian","M2","q_Q3_vs_Q1",1.640640225244,1.09954095848168,2.44802190216321,0.0176625764170767,0.17917689533739
"URXMOH_z","ir_binary_asian","M2","q_Q4_vs_Q1",1.36632454108127,0.928031338024921,2.01161606841215,0.117852827479925,0.17917689533739
"URXECP_z","ir_binary_asian","Crude","q_Q2_vs_Q1",1.63778824863256,1.16304373099133,2.30631942366653,0.0058128599528712,0.0415740369050398
"URXECP_z","ir_binary_asian","Crude","q_Q3_vs_Q1",2.02800634375909,1.5293111668078,2.68932171528699,3.98406268922199e-06,0.0415740369050398
"URXECP_z","ir_binary_asian","Crude","q_Q4_vs_Q1",1.78270886423401,1.25879845037297,2.52467016755295,0.00158604606704916,0.0415740369050398
"URXECP_z","ir_binary_asian","M1","q_Q2_vs_Q1",1.56443249642162,1.106954277418,2.21097572482282,0.0130499505814852,0.0459268652397337
"URXECP_z","ir_binary_asian","M1","q_Q3_vs_Q1",1.95014812087072,1.47173605243726,2.58407591975309,1.20110853542993e-05,0.0459268652397337
"URXECP_z","ir_binary_asian","M1","q_Q4_vs_Q1",1.74100425422885,1.23039299995763,2.46351841513024,0.00239106736081489,0.0459268652397337
"URXECP_z","ir_binary_asian","M2","q_Q2_vs_Q1",1.68875491002019,1.169586585604,2.43837709941287,0.00653300959504614,0.163335763280137
"URXECP_z","ir_binary_asian","M2","q_Q3_vs_Q1",1.76596250514571,1.2011300791363,2.59640785269738,0.00497491396743517,0.163335763280137
"URXECP_z","ir_binary_asian","M2","q_Q4_vs_Q1",1.66461975534405,1.11816949670051,2.47812065886095,0.0141646836003759,0.163335763280137
"sum_dehp_mol_z","ir_binary_asian","Crude","q_Q2_vs_Q1",1.49542261090678,1.08750058080839,2.05635640539052,0.0151299024286428,0.00974582950087877
"sum_dehp_mol_z","ir_binary_asian","Crude","q_Q3_vs_Q1",1.8827410720491,1.36479872855651,2.59724300016729,0.000215707624998249,0.00974582950087877
"sum_dehp_mol_z","ir_binary_asian","Crude","q_Q4_vs_Q1",1.81470304529115,1.31074781074065,2.51241857175267,0.000534903125712859,0.00974582950087877
