"exposure","cutoff","outcome","model_spec","subset","estimate","conf.low","conf.high","p.value","n","direction","sig","effect_sign","spec_id","estimate_pretty","p_pretty"
"sum_dehp_mol","Q3vsQ1","homa_ir_log","M2","Fasting>=10h",0.0558497856476925,-0.0435733136980783,0.155272884993463,0.266637095461372,2005,"positive",FALSE,1,40,"0.056 (-0.044-0.155)","0.267"
"sum_lmw","Q2vsQ1","homa_ir_log","M2","Fasting>=10h",-0.0573205896084903,-0.152013767248481,0.0373725880315001,0.231603475359426,2005,"negative",FALSE,-1,41,"-0.057 (-0.152-0.037)","0.232"
"sum_lmw","Q2vsQ1","homa_ir_log","M1","Fasting>=10h",0.0611928666489183,-0.0576706301419299,0.180056363439767,0.30893201982393,2005,"positive",FALSE,1,42,"0.061 (-0.058-0.180)","0.309"
"sum_lmw","Q2vsQ1","homa_ir_log","M1","Crude",0.0787532709903087,-0.0296889258210524,0.18719546780167,0.15243538692753,2239,"positive",FALSE,1,43,"0.079 (-0.030-0.187)","0.152"
"sum_lmw","Q4vsQ1","homa_ir_log","M1","Fasting>=10h",0.0839022937186389,-0.0492979565851399,0.217102544022418,0.213858407232847,2005,"positive",FALSE,1,44,"0.084 (-0.049-0.217)","0.214"
"sum_hmw","Q3vsQ1","homa_ir_log","M2","Age<60",0.0898585097886829,-0.0123639991473134,0.192081018724679,0.0839959269040342,1620,"positive",FALSE,1,45,"0.090 (-0.012-0.192)","0.084"
"sum_hmw","Q4vsQ1","homa_ir_log","M2","Crude",0.0914121796313089,0.00744209891948656,0.175382260343131,0.0332847663190617,2239,"positive",TRUE,1,46,"0.091 (0.007-0.175)","0.0333"
"sum_lmw","Q3vsQ1","homa_ir_log","M1","Crude",0.0921373274885411,-0.0278805276472375,0.21215518262432,0.130626096371881,2239,"positive",FALSE,1,47,"0.092 (-0.028-0.212)","0.131"
"sum_lmw","Q3vsQ1","homa_ir_log","M1","Fasting>=10h",0.0932529759160311,-0.0228580367810924,0.209363988613155,0.114010377013556,2005,"positive",FALSE,1,48,"0.093 (-0.023-0.209)","0.114"
"sum_lmw","Q4vsQ1","homa_ir_log","M1","Crude",0.093554578099718,-0.0397935789576556,0.226902735157092,0.166670952334867,2239,"positive",FALSE,1,49,"0.094 (-0.040-0.227)","0.167"
"sum_lmw","Q3vsQ1","homa_ir_log","M1","Age<60",0.0956726514864225,-0.0501466710001954,0.24149197397304,0.195580634002445,1620,"positive",FALSE,1,50,"0.096 (-0.050-0.241)","0.196"
"sum_dehp_mol","Q4vsQ1","homa_ir_log","M2","Crude",0.0991878968113815,0.0177147200063364,0.180661073616427,0.0177133239363403,2239,"positive",TRUE,1,51,"0.099 (0.018-0.181)","0.0177"
"sum_hmw","Q2vsQ1","homa_ir_log","M1","Crude",0.101436775710954,-0.0155770871228568,0.218450638544765,0.088418267419894,2239,"positive",FALSE,1,52,"0.101 (-0.016-0.218)","0.0884"
"sum_dehp_mol","Q2vsQ1","homa_ir_log","M1","Crude",0.104456168288368,-0.00467662001283645,0.213588956589572,0.0604170640471915,2239,"positive",FALSE,1,53,"0.104 (-0.005-0.214)","0.0604"
"sum_dehp_mol","Q3vsQ1","homa_ir_log","M2","Age<60",0.104779736843919,0.00660304484147055,0.202956428846367,0.0367916387254416,1620,"positive",TRUE,1,54,"0.105 (0.007-0.203)","0.0368"
"sum_lmw","Q2vsQ1","homa_ir_log","M1","Age<60",0.113529041737527,-0.0257970499780002,0.252855133453054,0.108909043418177,1620,"positive",FALSE,1,55,"0.114 (-0.026-0.253)","0.109"
"sum_hmw","Q4vsQ1","homa_ir_log","M2","Fasting>=10h",0.116952717530624,0.0315738998299841,0.202331535231263,0.00792358704532792,2005,"positive",TRUE,1,56,"0.117 (0.032-0.202)","0.00792"
"sum_hmw","Q2vsQ1","homa_ir_log","M1","Fasting>=10h",0.124412619688966,0.00823361566271029,0.240591623715221,0.0361324294355391,2005,"positive",TRUE,1,57,"0.124 (0.008-0.241)","0.0361"
"sum_lmw","Q4vsQ1","homa_ir_log","M1","Age<60",0.126553112619556,-0.0290635661782457,0.282169791417357,0.109598569669713,1620,"positive",FALSE,1,58,"0.127 (-0.029-0.282)","0.11"
