"variable","label","n","threshold","pos_rate","tp_rate","fp_rate","harm","net_benefit"
"none","Treat None",2239,0.42,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.43,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.44,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.45,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.46,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.47,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.48,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.49,0.474318892362662,0,0,0,0
"none","Treat None",2239,0.5,0.474318892362662,0,0,0,0
"p_base","Covariates only",2239,0.05,0.474318892362662,0.474318892362662,0.514068780705672,0,0.447262640746574
"p_base","Covariates only",2239,0.06,0.474318892362662,0.474318892362662,0.504242965609647,0,0.442133171153535
"p_base","Covariates only",2239,0.07,0.474318892362662,0.474318892362662,0.494863778472532,0,0.437071081079783
"p_base","Covariates only",2239,0.08,0.474318892362662,0.474318892362662,0.485931219294328,0,0.432064003728373
"p_base","Covariates only",2239,0.09,0.474318892362662,0.473425636444841,0.476998660116123,0,0.426249944785005
"p_base","Covariates only",2239,0.1,0.474318892362662,0.472085752568111,0.468066100937919,0,0.420078408019453
"p_base","Covariates only",2239,0.11,0.474318892362662,0.471639124609201,0.455560518088432,0,0.415333892036473
"p_base","Covariates only",2239,0.12,0.474318892362662,0.46985261277356,0.446627958910228,0,0.408948800194892
"p_base","Covariates only",2239,0.13,0.474318892362662,0.469405984814649,0.434122376060741,0,0.404537124023964
"p_base","Covariates only",2239,0.14,0.474318892362662,0.467619472979008,0.427422956677088,0,0.398038991659483
"p_base","Covariates only",2239,0.15,0.474318892362662,0.465386333184457,0.41179097811523,0,0.392717337046476
"p_base","Covariates only",2239,0.16,0.474318892362662,0.464046449307727,0.401518535060295,0,0.387566728343861
"p_base","Covariates only",2239,0.17,0.474318892362662,0.463599821348816,0.39124609200536,0,0.383465079612779
"p_base","Covariates only",2239,0.18,0.474318892362662,0.461366681554265,0.375614113443502,0,0.378914802993497
"p_base","Covariates only",2239,0.19,0.474318892362662,0.458240285841894,0.364001786511836,0,0.372857150734179
"p_base","Covariates only",2239,0.2,0.474318892362662,0.456900401965163,0.351942831621259,0,0.368914694059848
"p_base","Covariates only",2239,0.21,0.474318892362662,0.45198749441715,0.343456900401965,0,0.360688824690046
"p_base","Covariates only",2239,0.22,0.474318892362662,0.45109423849933,0.330504689593569,0,0.357874967075503
"p_base","Covariates only",2239,0.23,0.474318892362662,0.448414470745869,0.320232246538633,0,0.352760682818744
"p_base","Covariates only",2239,0.24,0.474318892362662,0.444841447074587,0.308619919606967,0,0.347382525093439
"p_base","Covariates only",2239,0.25,0.474318892362662,0.439928539526574,0.297900848593122,0,0.3406282566622
"p_base","Covariates only",2239,0.26,0.474318892362662,0.436355515855293,0.287628405538187,0,0.335296886882416
"p_base","Covariates only",2239,0.27,0.474318892362662,0.4323358642251,0.280035730236713,0,0.328761005096453
"p_base","Covariates only",2239,0.28,0.474318892362662,0.428762840553819,0.270656543099598,0,0.323507518237308
"p_base","Covariates only",2239,0.29,0.474318892362662,0.423849933005806,0.262170611880304,0,0.316766161956105
"p_base","Covariates only",2239,0.3,0.474318892362662,0.419830281375614,0.253684680661009,0,0.311108275378039
"p_base","Covariates only",2239,0.31,0.474318892362662,0.418490397498883,0.246985261277356,0,0.307526004751086
"p_base","Covariates only",2239,0.32,0.474318892362662,0.414917373827602,0.239392585975882,0,0.302262039250716
"p_base","Covariates only",2239,0.33,0.474318892362662,0.41179097811523,0.232246538633318,0,0.2974008919227
"p_base","Covariates only",2239,0.34,0.474318892362662,0.408664582402858,0.224653863331845,0,0.292933804322817
"p_base","Covariates only",2239,0.35,0.474318892362662,0.404644930772666,0.21616793211255,0,0.288246813481293
"p_base","Covariates only",2239,0.36,0.474318892362662,0.400178651183564,0.208128628852166,0,0.283106297454221
"p_base","Covariates only",2239,0.37,0.474318892362662,0.395712371594462,0.197856185797231,0,0.27951111961831
"p_base","Covariates only",2239,0.38,0.474318892362662,0.39213934792318,0.194283162125949,0,0.273062571136308
"p_base","Covariates only",2239,0.39,0.474318892362662,0.386779812416257,0.187137114783385,0,0.267134771817044
"p_base","Covariates only",2239,0.4,0.474318892362662,0.379187137114783,0.180884323358642,0,0.258597588209022
"p_base","Covariates only",2239,0.41,0.474318892362662,0.37293434569004,0.173291648057168,0,0.252511336023194
"p_base","Covariates only",2239,0.42,0.474318892362662,0.366234926306387,0.167932112550246,0,0.244628913770002
"p_base","Covariates only",2239,0.43,0.474318892362662,0.364001786511836,0.163465832961143,0,0.240685456383254
"p_base","Covariates only",2239,0.44,0.474318892362662,0.359088878963823,0.158106297454221,0,0.23486250239265
"p_base","Covariates only",2239,0.45,0.474318892362662,0.35283608753908,0.150960250111657,0,0.229323155629542
"p_base","Covariates only",2239,0.46,0.474318892362662,0.346583296114337,0.145154086645824,0,0.222933518601227
"p_base","Covariates only",2239,0.47,0.474318892362662,0.343456900401965,0.139347923179991,0,0.219884213808388
"p_base","Covariates only",2239,0.48,0.474318892362662,0.339437248771773,0.133541759714158,0,0.21616793211255
"p_base","Covariates only",2239,0.49,0.474318892362662,0.335417597141581,0.128628852166146,0,0.211833013687833
"p_base","Covariates only",2239,0.5,0.474318892362662,0.330058061634658,0.125949084412684,0,0.204108977221974
"p_aug","Covariates + Phthalate",2239,0.05,0.474318892362662,0.474318892362662,0.513622152746762,0,0.447286147481253
"p_aug","Covariates + Phthalate",2239,0.06,0.474318892362662,0.474318892362662,0.504242965609647,0,0.442133171153535
"p_aug","Covariates + Phthalate",2239,0.07,0.474318892362662,0.474318892362662,0.493970522554712,0,0.437138315396178
"p_aug","Covariates + Phthalate",2239,0.08,0.474318892362662,0.473872264403752,0.485037963376507,0,0.431695050197099
"p_aug","Covariates + Phthalate",2239,0.09,0.474318892362662,0.473425636444841,0.477445288075034,0,0.426205772789069
"p_aug","Covariates + Phthalate",2239,0.1,0.474318892362662,0.472532380527021,0.465832961143368,0,0.420773162622202
"p_aug","Covariates + Phthalate",2239,0.11,0.474318892362662,0.47119249665029,0.456453774006253,0,0.414776861660754
"p_aug","Covariates + Phthalate",2239,0.12,0.474318892362662,0.47029924073247,0.445734702992407,0,0.40951723577896
"p_aug","Covariates + Phthalate",2239,0.13,0.474318892362662,0.468512728896829,0.433229120142921,0,0.403777343128346
"p_aug","Covariates + Phthalate",2239,0.14,0.474318892362662,0.467619472979008,0.420723537293435,0,0.399129594814961
"p_aug","Covariates + Phthalate",2239,0.15,0.474318892362662,0.466279589102278,0.410451094238499,0,0.39384704306019
"p_aug","Covariates + Phthalate",2239,0.16,0.474318892362662,0.463599821348816,0.398838767306833,0,0.387630532337991
