"exposure","outcome","model","term","HR","lo","hi","p","p_trend"
"URXECP_z","mort_cm","Crude","q_Q4_vs_Q1",2.19207353107088,0.834803033293726,5.75607200019701,0.111071990865837,0.320332644064988
"URXECP_z","mort_cm","M1","q_Q2_vs_Q1",1.90744337272102,0.68650230895653,5.29982226231337,0.215516622173252,0.324437396167111
"URXECP_z","mort_cm","M1","q_Q3_vs_Q1",0.913671171860133,0.360831764976213,2.31352971472259,0.848943719908269,0.324437396167111
"URXECP_z","mort_cm","M1","q_Q4_vs_Q1",1.98467001030624,0.736287560478483,5.34969658763384,0.175461938888755,0.324437396167111
"URXECP_z","mort_cm","M2","q_Q2_vs_Q1",1.78761079243564,0.616272901648308,5.18528777865361,0.285036991264684,0.382219218622584
"URXECP_z","mort_cm","M2","q_Q3_vs_Q1",0.769658030741361,0.300830856081851,1.96912475003394,0.584901461967952,0.382219218622584
"URXECP_z","mort_cm","M2","q_Q4_vs_Q1",1.78994315834102,0.701323419779896,4.56835807807094,0.223292946665745,0.382219218622584
"sum_dehp_mol_z","mort_cm","Crude","q_Q2_vs_Q1",2.0668424085049,0.80249199791376,5.32321512575808,0.132551519959812,0.582061051009147
"sum_dehp_mol_z","mort_cm","Crude","q_Q3_vs_Q1",1.0692176459959,0.424250542760664,2.6946963156956,0.887151751375303,0.582061051009147
"sum_dehp_mol_z","mort_cm","Crude","q_Q4_vs_Q1",1.70568384948468,0.672071566417513,4.32893986261201,0.261145334865765,0.582061051009147
"sum_dehp_mol_z","mort_cm","M1","q_Q2_vs_Q1",2.05574809030363,0.738781064606196,5.72036887956749,0.1675429984532,0.501882239458581
"sum_dehp_mol_z","mort_cm","M1","q_Q3_vs_Q1",0.969495300758292,0.345987876257119,2.71663027144313,0.953008492780957,0.501882239458581
"sum_dehp_mol_z","mort_cm","M1","q_Q4_vs_Q1",1.76386003285973,0.69771208066376,4.45914912718742,0.23041392335121,0.501882239458581
"sum_dehp_mol_z","mort_cm","M2","q_Q2_vs_Q1",2.30287551128256,0.854874943968988,6.20352211499286,0.0989761760663456,0.384709139609416
"sum_dehp_mol_z","mort_cm","M2","q_Q3_vs_Q1",0.81747775797529,0.285780157628873,2.33840547338543,0.707045410268831,0.384709139609416
"sum_dehp_mol_z","mort_cm","M2","q_Q4_vs_Q1",1.91131251842334,0.788304089836546,4.63414510996539,0.151699004739419,0.384709139609416
"sum_hmw_z","mort_cm","Crude","q_Q2_vs_Q1",2.02105230955782,0.787554126830566,5.18650375740812,0.143387652019151,0.49561425981157
"sum_hmw_z","mort_cm","Crude","q_Q3_vs_Q1",1.08122776776235,0.426913522418961,2.73838476503699,0.869165890611597,0.49561425981157
"sum_hmw_z","mort_cm","Crude","q_Q4_vs_Q1",1.76805550232956,0.698826062514926,4.47324509917098,0.228859712062433,0.49561425981157
"sum_hmw_z","mort_cm","M1","q_Q2_vs_Q1",2.21968596532475,0.772389808209307,6.37891092333589,0.138753641709087,0.235824250488487
"sum_hmw_z","mort_cm","M1","q_Q3_vs_Q1",0.811914364866136,0.295682886730018,2.22943215674801,0.685997583124046,0.235824250488487
"sum_hmw_z","mort_cm","M1","q_Q4_vs_Q1",2.22930683363382,0.857671970830441,5.79453349008764,0.0999825549455255,0.235824250488487
"sum_hmw_z","mort_cm","M2","q_Q2_vs_Q1",2.46836627353546,0.853590358214927,7.13788763156719,0.0953615201313302,0.145462035338279
"sum_hmw_z","mort_cm","M2","q_Q3_vs_Q1",0.710019195306611,0.244010471302393,2.06600665542383,0.529721293774789,0.145462035338279
"sum_hmw_z","mort_cm","M2","q_Q4_vs_Q1",2.53778836839549,1.02823395098943,6.26352572443861,0.0433453787259608,0.145462035338279
"sum_lmw_z","mort_cm","Crude","q_Q2_vs_Q1",1.0004098184453,0.392461300555447,2.5501108094615,0.99931523520017,0.410579655235615
"sum_lmw_z","mort_cm","Crude","q_Q3_vs_Q1",0.981246463633256,0.306562222526728,3.14078040815621,0.974556783304542,0.410579655235615
"sum_lmw_z","mort_cm","Crude","q_Q4_vs_Q1",1.31770234329191,0.526801498708292,3.29600327594828,0.555330172040849,0.410579655235615
"sum_lmw_z","mort_cm","M1","q_Q2_vs_Q1",1.01163871555701,0.385437403670528,2.65519869391982,0.98124857933942,0.643393036821313
"sum_lmw_z","mort_cm","M1","q_Q3_vs_Q1",1.20927263328787,0.378196352307573,3.86661662043139,0.748658547716799,0.643393036821313
"sum_lmw_z","mort_cm","M1","q_Q4_vs_Q1",1.20213251769734,0.46937411012071,3.07882893185926,0.701222786601654,0.643393036821313
"sum_lmw_z","mort_cm","M2","q_Q2_vs_Q1",1.04622065244619,0.395634261920972,2.76664020019475,0.927438096491015,0.980013767719149
"sum_lmw_z","mort_cm","M2","q_Q3_vs_Q1",1.04105058428766,0.289448965581327,3.74430883478547,0.950880327741894,0.980013767719149
"sum_lmw_z","mort_cm","M2","q_Q4_vs_Q1",1.01132430688259,0.359872260398698,2.84205526860678,0.982958541446005,0.980013767719149
